spp,date,sensor,ind,d_O2,treatment,temp,salinity,surface_area_m2,coral zoox,SMR_umolO2_hr_cm2,Abs_mgO2_min,zoox1,zoox
A_tenuifolia,44786,CO8,11,47.4,tented_control,29,31.6,0.016435524,1,0.01836065,0.001609364,1,0.016435524
A_tenuifolia,44786,CO4,26,54.9,control,29,31.6,0.02035523,1,0.0554092,0.006015065,1,0.02035523
A_tenuifolia,44786,CO6,3,40.8,control,29,31.6,0.020688178,1,0.0295282,0.003257929,1,0.020688178
A_tenuifolia,44786,CO1,24,47.7,hypoxic,29,31.6,0.023669576,1,0.03238641,0.004088234,1,0.023669576
A_tenuifolia,44786,CO7,17,40.6,control,29,31.6,0.02686285,1,0.04337114,0.006213487,1,0.02686285
A_tenuifolia,44786,CO4,2,66.3,tented_control,29,31.6,0.02814924,1,0.03621768,0.00543713,1,0.02814924
A_tenuifolia,44786,CO6,22,45,tented_control,29,31.6,0.034550922,1,0.02579162,0.004752485,1,0.034550922
A_tenuifolia,44786,CO2,28,42.8,tented_control,29,31.6,0.040998006,1,0.02509373,0.00548669,1,0.040998006
A_tenuifolia,44786,CO4,5,45.5,hypoxic,29,31.6,0.043328642,1,0.03825023,0.008838765,1,0.043328642
A_tenuifolia,44786,CO2,8,57.3,tented_control,29,31.6,0.04805045,1,0.03665673,0.009393634,1,0.04805045
A_tenuifolia,44786,CO1,10,44.7,control,29,31.6,0.052015558,1,0.02019749,0.005602902,1,0.052015558
A_tenuifolia,44786,CO10,13,41.4,hypoxic,29,31.6,0.062140204,1,0.0108571,0.003598065,1,0.062140204
A_tenuifolia,44786,CO1,21,54.3,control,29,31.6,0.062140204,1,0.03090576,0.01024223,1,0.062140204
S_siderea,44790,CO4,9,43,tented_control,29,30.9,0.015466948,61.5,0.02696281,0.002224089,61.5,0.951217302
S_siderea,44790,CO6,23,42.7,tented_control,29,30.9,0.0204309,77.75,0.0249592,0.002719573,77.75,1.588502475
S_siderea,44790,CO10,16,41.5,hypoxic,29,30.9,0.027559014,69.5,0.01768315,0.002598996,69.5,1.915351473
S_siderea,44790,CO7,4,41.6,hypoxic,29,30.9,0.013817342,144.25,0.04121793,0.003037338,144.25,1.993151584
S_siderea,44790,CO2,15,42.7,tented_control,29,30.9,0.021581084,120,0.0385752,0.004439805,120,2.58973008
S_siderea,44790,CO4,25,67.9,control,29,30.9,0.02368471,109.5,0.04661953,0.005888686,109.5,2.593475745
S_siderea,44790,CO1,7,48.2,control,29,30.9,0.020794116,151.25,0.04727182,0.005242341,151.25,3.145110045
S_siderea,44790,CO6,12,42.7,hypoxic,29,30.9,0.019507726,161.25,0.04593707,0.004779169,161.25,3.145620818
S_siderea,44790,CO5,6,41,tented_control,29,30.9,0.017419234,182.5,0.02859115,0.002656092,182.5,3.179010205
S_siderea,44790,CO10,20,51.2,hypoxic,29,30.9,0.02171729,165.25,0.04788526,0.005546128,165.25,3.588782173
S_siderea,44790,CO2,32,46.4,tented_control,29,30.9,0.022943144,170.75,0.02703212,0.003307619,170.75,3.917541838
S_siderea,44790,CO1,31,74,hypoxic,29,30.9,0.023321494,190,0.04317255,0.005369657,190,4.43108386
S_siderea,44790,CO2,19,54.8,control,29,30.9,0.022413454,202.5,0.05217106,0.006236212,202.5,4.538724435
S_siderea,44790,CO7,29,44.3,control,29,30.9,0.03450552,147.75,0.01780346,0.003276238,147.75,5.09819058
S_siderea,44790,CO1,27,55.2,hypoxic,29,30.9,0.02845192,185.75,0.03896691,0.005912756,185.75,5.28494414
S_siderea,44790,CO5,14,44.9,control,29,30.9,0.0348082,169.25,0.01682631,0.003123582,169.25,5.89128785
